horizon,impulse,response,value,method
7,iioc_total,iioc_total,2005.1797376343136,regularized_cholesky_eps_1e-08
7,iioc_total,empleo_construccion,13067.638976995377,regularized_cholesky_eps_1e-08
7,empleo_construccion,ipoc_total,-0.17146745096742216,regularized_cholesky_eps_1e-08
7,empleo_construccion,iioc_total,-11.337614437265184,regularized_cholesky_eps_1e-08
7,empleo_construccion,empleo_construccion,-73.89670832267382,regularized_cholesky_eps_1e-08
8,ipoc_total,ipoc_total,-29.057243877827865,regularized_cholesky_eps_1e-08
8,ipoc_total,iioc_total,-1919.836642548176,regularized_cholesky_eps_1e-08
8,ipoc_total,empleo_construccion,-12511.385311215385,regularized_cholesky_eps_1e-08
8,iioc_total,ipoc_total,89.37839275554784,regularized_cholesky_eps_1e-08
8,iioc_total,iioc_total,5905.30598931846,regularized_cholesky_eps_1e-08
8,iioc_total,empleo_construccion,38484.29455216571,regularized_cholesky_eps_1e-08
8,empleo_construccion,ipoc_total,-0.5054239858143383,regularized_cholesky_eps_1e-08
8,empleo_construccion,iioc_total,-33.3895059842503,regularized_cholesky_eps_1e-08
8,empleo_construccion,empleo_construccion,-217.59083519803366,regularized_cholesky_eps_1e-08
9,ipoc_total,ipoc_total,-85.57384047911484,regularized_cholesky_eps_1e-08
9,ipoc_total,iioc_total,-5653.968840270078,regularized_cholesky_eps_1e-08
9,ipoc_total,empleo_construccion,-36846.39562557386,regularized_cholesky_eps_1e-08
9,iioc_total,ipoc_total,263.2201630943028,regularized_cholesky_eps_1e-08
9,iioc_total,iioc_total,17391.279713345793,regularized_cholesky_eps_1e-08
9,iioc_total,empleo_construccion,113337.37247284249,regularized_cholesky_eps_1e-08
9,empleo_construccion,ipoc_total,-1.488253955054807,regularized_cholesky_eps_1e-08
9,empleo_construccion,iioc_total,-98.33299497861992,regularized_cholesky_eps_1e-08
9,empleo_construccion,empleo_construccion,-640.8298355159507,regularized_cholesky_eps_1e-08
10,ipoc_total,ipoc_total,-252.0174410794959,regularized_cholesky_eps_1e-08
10,ipoc_total,iioc_total,-16651.08503147441,regularized_cholesky_eps_1e-08
10,ipoc_total,empleo_construccion,-108513.57072317674,regularized_cholesky_eps_1e-08
10,iioc_total,ipoc_total,775.1910086610042,regularized_cholesky_eps_1e-08
10,iioc_total,iioc_total,51217.77029484969,regularized_cholesky_eps_1e-08
10,iioc_total,empleo_construccion,333781.4400208175,regularized_cholesky_eps_1e-08
10,empleo_construccion,ipoc_total,-4.383067559499527,regularized_cholesky_eps_1e-08
10,empleo_construccion,iioc_total,-289.5932069003387,regularized_cholesky_eps_1e-08
10,empleo_construccion,empleo_construccion,-1887.2505408964232,regularized_cholesky_eps_1e-08
11,ipoc_total,ipoc_total,-742.1977744797629,regularized_cholesky_eps_1e-08
11,ipoc_total,iioc_total,-49037.87786424636,regularized_cholesky_eps_1e-08
11,ipoc_total,empleo_construccion,-319575.2949383566,regularized_cholesky_eps_1e-08
11,iioc_total,ipoc_total,2282.9572402164486,regularized_cholesky_eps_1e-08
11,iioc_total,iioc_total,150837.66369861792,regularized_cholesky_eps_1e-08
11,iioc_total,empleo_construccion,982995.0430749765,regularized_cholesky_eps_1e-08
11,empleo_construccion,ipoc_total,-12.908184889787297,regularized_cholesky_eps_1e-08
11,empleo_construccion,iioc_total,-852.8595238828995,regularized_cholesky_eps_1e-08
11,empleo_construccion,empleo_construccion,-5558.007035482254,regularized_cholesky_eps_1e-08
12,ipoc_total,ipoc_total,-2185.7917905216846,regularized_cholesky_eps_1e-08
12,ipoc_total,iioc_total,-144417.82381107938,regularized_cholesky_eps_1e-08
12,ipoc_total,empleo_construccion,-941157.5371914187,regularized_cholesky_eps_1e-08
12,iioc_total,ipoc_total,6723.3685748271955,regularized_cholesky_eps_1e-08
12,iioc_total,iioc_total,444220.83680724114,regularized_cholesky_eps_1e-08
12,iioc_total,empleo_construccion,2894945.912540525,regularized_cholesky_eps_1e-08
12,empleo_construccion,ipoc_total,-38.01497242053103,regularized_cholesky_eps_1e-08
12,empleo_construccion,iioc_total,-2511.693441948131,regularized_cholesky_eps_1e-08
12,empleo_construccion,empleo_construccion,-16368.472367686192,regularized_cholesky_eps_1e-08
