file,path,size_bytes,sha256,ingested_at
anex-GastoConstantes-IVtrim2025.xlsx,data/raw/anex-GastoConstantes-IVtrim2025.xlsx,484041,5bd140c9b88d511b2602d3030cba0e0a31fe75c5b346b3e1195e5e85eb758252,2026-04-16T07:47:44
anexo-mercado-laboral-segun-proyecciones-CNPV2018.xlsx,data/raw/anexo-mercado-laboral-segun-proyecciones-CNPV2018.xlsx,7556793,143e5b464bdd293e2e4a4bc653d84ba3e6ec52f5ec9b2974c3eb147b697db892,2026-04-16T07:47:44
anexos_IIOC_IVtrim20.xlsx,data/raw/anexos_IIOC_IVtrim20.xlsx,279217,9957104a54dfe79ef3c88dedbbc8b4c82cb9bd496b89537680900b988a76f967,2026-04-16T07:47:44
ipoc_2020_2024.xlsx,data/raw/ipoc_2020_2024.xlsx,5669,8031460450a792d89acfa90a5c71f624c2bed65b17fa6406303c27c4778e8cbb,2026-04-16T07:47:44
